Id,Name,Gender,Email,EmailName,Domain,CompanyEmail,RegionCode,Phone,EmpPhone,FaxNumber,CitizenIdentification,Role,Department,Location,University,Birthday,StartDay,OfficialDay,ContractStatus,ContractStartDay,ContractEndDay,BaseSalary,base-net,BankName,BankAccountNumber,GrossSalary,NetSalary,net-gos,Manager,ProjectName,LinkCV,WorkingModel,Effort,WorkingTime,DateCreated,DateModified
184,Huỳnh Thị Minh Nhã,Non-binary,bmcettigen53@elpais.com,bmcettigen53,@solutiondtk.com,bmcettigen53@solutiondtk.com,84,917-388-0976,+84 917-388-0976,68737-227,76454-100,Software Engineer,Sales,Da Nang,National University of Science and Technology Bulawayo,16/03/99,8/1/2021,8/3/2021,Probation,10/31/2021,7/7/2022,"$24.613.290,26","$16.776.015,26",HSBC,49349-261,"$23.556.934,13","$7.837.275,00","-$15.719.659,13",Briggs McEttigen,INDEN,https://eventbrite.com/purus/phasellus.xml?rutrum=posuere&nulla=cubilia&nunc=curae&purus=nulla&phasellus=dapibus&in=dolor&felis=vel&donec=est&semper=donec&sapien=odio&a=justo&libero=sollicitudin&nam=ut&dui=suscipit&proin=a&leo=feugiat&odio=et&porttitor=eros&id=vestibulum&consequat=ac&in=est&consequat=lacinia&ut=nisi&nulla=venenatis&sed=tristique&accumsan=fusce&felis=congue&ut=diam&at=id&dolor=ornare&quis=imperdiet&odio=sapien&consequat=urna&varius=pretium&integer=nisl&ac=ut&leo=volutpat&pellentesque=sapien&ultrices=arcu&mattis=sed&odio=augue&donec=aliquam&vitae=erat&nisi=volutpat&nam=in&ultrices=congue&libero=etiam&non=justo&mattis=etiam&pulvinar=pretium&nulla=iaculis&pede=justo&ullamcorper=in&augue=hac&a=habitasse&suscipit=platea&nulla=dictumst&elit=etiam&ac=faucibus&nulla=cursus&sed=urna&vel=ut&enim=tellus&sit=nulla&amet=ut&nunc=erat&viverra=id&dapibus=mauris&nulla=vulputate&suscipit=elementum,Full time,80,Online,6/18/2022,12/20/2021
187,Nguyễn Thị Hương Thơ,Male,gkaesmans56@cisco.com,gkaesmans56,@solutiondtk.com,gkaesmans56@solutiondtk.com,84,708-327-2203,+84 708-327-2203,42507-467,46122-170,Sales,Marketing,Ho Chi Minh,"Universidad Catolica ""Redemptoris Mater""",21/12/98,12/1/2022,12/3/2022,1 Year,11/1/2020,9/9/2022,"$20.861.501,00","$12.826.267,41",HSBC,42681-9033,"$16.201.222,37","$8.035.233,59","-$8.165.988,78",Georgi Kaesmans,EMBI,https://angelfire.com/suspendisse/potenti/in.js?dignissim=felis&vestibulum=eu&vestibulum=sapien&ante=cursus&ipsum=vestibulum&primis=proin&in=eu&faucibus=mi&orci=nulla&luctus=ac&et=enim&ultrices=in&posuere=tempor&cubilia=turpis&curae=nec&nulla=euismod&dapibus=scelerisque&dolor=quam&vel=turpis&est=adipiscing&donec=lorem&odio=vitae&justo=mattis&sollicitudin=nibh&ut=ligula&suscipit=nec&a=sem&feugiat=duis&et=aliquam&eros=convallis&vestibulum=nunc&ac=proin&est=at&lacinia=turpis&nisi=a&venenatis=pede&tristique=posuere&fusce=nonummy&congue=integer&diam=non&id=velit&ornare=donec&imperdiet=diam&sapien=neque&urna=vestibulum&pretium=eget&nisl=vulputate&ut=ut&volutpat=ultrices&sapien=vel&arcu=augue&sed=vestibulum&augue=ante&aliquam=ipsum&erat=primis&volutpat=in&in=faucibus&congue=orci&etiam=luctus&justo=et&etiam=ultrices&pretium=posuere&iaculis=cubilia&justo=curae&in=donec&hac=pharetra&habitasse=magna&platea=vestibulum&dictumst=aliquet&etiam=ultrices&faucibus=erat&cursus=tortor&urna=sollicitudin&ut=mi&tellus=sit&nulla=amet&ut=lobortis&erat=sapien&id=sapien&mauris=non&vulputate=mi&elementum=integer&nullam=ac&varius=neque&nulla=duis&facilisi=bibendum&cras=morbi,Full time,80,Online,11/19/2021,1/15/2022
188,Đinh Thị Diễm Hương,Male,wcristobal57@nasa.gov,wcristobal57,@solutiondtk.com,wcristobal57@solutiondtk.com,84,526-925-5486,+84 526-925-5486,0185-0674,55111-157,Designer,Technology,Da Nang,Universidad Católica de Valencia,24/08/98,8/12/2020,8/2/2021,1 Year,3/24/2022,2/12/2023,"$21.809.823,89","$9.769.256,12",HSBC,49288-0804,"$27.328.081,31","$12.040.567,77","-$15.287.513,54",Wayland Cristobal,SISS,http://canalblog.com/at.html?curabitur=ipsum&convallis=dolor&duis=sit&consequat=amet&dui=consectetuer&nec=adipiscing&nisi=elit&volutpat=proin&eleifend=interdum&donec=mauris&ut=non&dolor=ligula&morbi=pellentesque&vel=ultrices&lectus=phasellus&in=id&quam=sapien&fringilla=in&rhoncus=sapien&mauris=iaculis&enim=congue&leo=vivamus&rhoncus=metus&sed=arcu&vestibulum=adipiscing&sit=molestie&amet=hendrerit&cursus=at&id=vulputate&turpis=vitae&integer=nisl&aliquet=aenean&massa=lectus&id=pellentesque&lobortis=eget,Part time,100,Hybrid,2/17/2022,7/21/2022
192,Phạm Đức Thuấn,Male,gguiton5b@ycombinator.com,gguiton5b,@solutiondtk.com,gguiton5b@solutiondtk.com,84,585-464-8959,+84 585-464-8959,30142-490,63739-539,Software Engineer,Sales,Da Nang,Ecole Normale Supérieure de Fontenay-Saint Cloud,30/12/98,12/8/2021,12/10/2021,1 Year,7/11/2020,4/23/2022,"$15.324.288,52","$7.731.131,64",HSBC,65919-001,"$12.607.704,76","$7.593.156,88","-$5.014.547,88",Gaile Guiton,INDEN,http://skype.com/non/mauris/morbi/non/lectus/aliquam.html?orci=eros&luctus=viverra&et=eget&ultrices=congue&posuere=eget&cubilia=semper&curae=rutrum&duis=nulla&faucibus=nunc&accumsan=purus&odio=phasellus&curabitur=in&convallis=felis&duis=donec&consequat=semper&dui=sapien&nec=a&nisi=libero&volutpat=nam,Part time,100,Offline,7/2/2022,7/28/2022
194,Lưu Minh Sang,Male,pdell5d@technorati.com,pdell5d,@solutiondtk.com,pdell5d@solutiondtk.com,84,808-378-7750,+84 808-378-7750,49035-560,63029-075,Software Engineer,Management,Da Nang,Université de Liège,21/02/96,24/05/22,24/07/22,Probation,4/5/2021,2/13/2023,"$14.782.684,93","$5.614.499,06",HSBC,66472-023,"$10.185.265,78","$9.168.185,87","-$1.017.079,91",Pren Dell Casa,INDEN,http://cisco.com/risus/semper/porta/volutpat.json?lobortis=morbi&est=odio&phasellus=odio&sit=elementum&amet=eu&erat=interdum&nulla=eu&tempus=tincidunt&vivamus=in&in=leo&felis=maecenas&eu=pulvinar&sapien=lobortis&cursus=est&vestibulum=phasellus&proin=sit&eu=amet&mi=erat&nulla=nulla&ac=tempus&enim=vivamus&in=in&tempor=felis&turpis=eu&nec=sapien&euismod=cursus&scelerisque=vestibulum,Full time,100,Hybrid,10/30/2021,3/1/2022
195,Phạm Thùy Trang,Female,adoerren5e@time.com,adoerren5e,@solutiondtk.com,adoerren5e@solutiondtk.com,84,457-992-3132,+84 457-992-3132,54838-144,68703-106,Accountant,Management,Da Nang,Galway Mayo Institute of Technology,10/3/1997,24/06/22,24/08/22,Infinity,3/27/2022,,"$20.139.594,77","$9.494.880,24",HSBC,98132-123,"$20.408.713,99","$10.644.714,53","-$9.763.999,46",Alicea Doerren,SISS,http://infoseek.co.jp/id/nulla.js?eu=faucibus&mi=orci&nulla=luctus&ac=et&enim=ultrices&in=posuere&tempor=cubilia&turpis=curae&nec=donec&euismod=pharetra&scelerisque=magna&quam=vestibulum&turpis=aliquet&adipiscing=ultrices&lorem=erat&vitae=tortor&mattis=sollicitudin&nibh=mi&ligula=sit&nec=amet&sem=lobortis&duis=sapien&aliquam=sapien&convallis=non&nunc=mi&proin=integer&at=ac&turpis=neque&a=duis&pede=bibendum&posuere=morbi&nonummy=non&integer=quam&non=nec&velit=dui&donec=luctus&diam=rutrum&neque=nulla&vestibulum=tellus&eget=in&vulputate=sagittis&ut=dui&ultrices=vel&vel=nisl&augue=duis&vestibulum=ac&ante=nibh&ipsum=fusce&primis=lacus&in=purus&faucibus=aliquet&orci=at&luctus=feugiat&et=non&ultrices=pretium&posuere=quis&cubilia=lectus&curae=suspendisse&donec=potenti&pharetra=in&magna=eleifend&vestibulum=quam&aliquet=a&ultrices=odio&erat=in&tortor=hac&sollicitudin=habitasse&mi=platea&sit=dictumst&amet=maecenas&lobortis=ut&sapien=massa&sapien=quis,Full time,80,Hybrid,1/14/2022,11/19/2021
196,Phan Tiến Lào,Male,aspilstead5f@joomla.org,aspilstead5f,@solutiondtk.com,aspilstead5f@solutiondtk.com,84,466-125-1724,+84 466-125-1724,37808-536,49349-063,Admin,Management,Da Nang,Renmin University of China,22/07/97,24/08/21,24/10/21,Probation,7/15/2020,10/23/2021,"$14.214.223,04","$6.881.611,08",HSBC,51824-034,"$14.134.456,31","$7.332.611,96","-$6.801.844,35",Artair Spilstead,MKT,https://reference.com/ipsum/primis/in/faucibus/orci.xml?potenti=vestibulum&nullam=ante&porttitor=ipsum&lacus=primis&at=in&turpis=faucibus&donec=orci&posuere=luctus&metus=et&vitae=ultrices&ipsum=posuere&aliquam=cubilia&non=curae&mauris=duis&morbi=faucibus&non=accumsan&lectus=odio&aliquam=curabitur&sit=convallis&amet=duis&diam=consequat&in=dui&magna=nec&bibendum=nisi&imperdiet=volutpat&nullam=eleifend&orci=donec&pede=ut&venenatis=dolor&non=morbi&sodales=vel&sed=lectus&tincidunt=in&eu=quam&felis=fringilla&fusce=rhoncus&posuere=mauris&felis=enim&sed=leo&lacus=rhoncus&morbi=sed&sem=vestibulum&mauris=sit&laoreet=amet&ut=cursus&rhoncus=id&aliquet=turpis&pulvinar=integer&sed=aliquet&nisl=massa&nunc=id&rhoncus=lobortis&dui=convallis&vel=tortor&sem=risus&sed=dapibus&sagittis=augue&nam=vel&congue=accumsan&risus=tellus&semper=nisi&porta=eu&volutpat=orci,Full time,100,Offline,6/24/2022,4/14/2022
198,Nguyễn Viết Phong,Male,glandell5h@wunderground.com,glandell5h,@solutiondtk.com,glandell5h@solutiondtk.com,84,918-486-3028,+84 918-486-3028,70253-004,59260-135,Content Marketing,Management,Hanoi,Texas A&M University - Galveston,28/12/99,23/05/21,23/07/21,Infinity,2/12/2022,,"$14.606.639,73","$2.777.583,24",HSBC,54868-5129,"$23.954.946,62","$11.829.056,49","-$12.125.890,13",Gregorio Landell,OTLS,https://qq.com/sagittis.jpg?lectus=tortor&aliquam=quis&sit=turpis&amet=sed&diam=ante&in=vivamus&magna=tortor&bibendum=duis&imperdiet=mattis&nullam=egestas&orci=metus&pede=aenean&venenatis=fermentum&non=donec&sodales=ut&sed=mauris&tincidunt=eget&eu=massa&felis=tempor&fusce=convallis&posuere=nulla&felis=neque&sed=libero&lacus=convallis&morbi=eget&sem=eleifend&mauris=luctus&laoreet=ultricies&ut=eu&rhoncus=nibh&aliquet=quisque&pulvinar=id&sed=justo&nisl=sit&nunc=amet&rhoncus=sapien&dui=dignissim&vel=vestibulum&sem=vestibulum&sed=ante&sagittis=ipsum&nam=primis&congue=in&risus=faucibus&semper=orci&porta=luctus&volutpat=et&quam=ultrices&pede=posuere&lobortis=cubilia&ligula=curae&sit=nulla&amet=dapibus&eleifend=dolor&pede=vel&libero=est&quis=donec&orci=odio&nullam=justo&molestie=sollicitudin&nibh=ut&in=suscipit&lectus=a&pellentesque=feugiat&at=et&nulla=eros&suspendisse=vestibulum&potenti=ac&cras=est&in=lacinia&purus=nisi&eu=venenatis&magna=tristique&vulputate=fusce&luctus=congue&cum=diam&sociis=id&natoque=ornare&penatibus=imperdiet&et=sapien&magnis=urna&dis=pretium&parturient=nisl&montes=ut&nascetur=volutpat&ridiculus=sapien&mus=arcu,Full time,100,Offline,10/20/2021,5/10/2022
202,Nguyễn Khắc Huy,Female,mwhiten5l@nbcnews.com,mwhiten5l,@solutiondtk.com,mwhiten5l@solutiondtk.com,84,762-719-1104,+84 762-719-1104,45167-451,36800-912,Project Manager,Marketing,Da Nang,La Salle Universities - International Programmes,9/8/1996,1/3/2022,1/5/2022,1 Year,3/7/2020,10/15/2022,"$14.389.707,66","$4.678.220,59",HSBC,57344-092,"$17.610.002,58","$9.711.487,07","-$7.898.515,51",Magdalen Whiten,MKT,https://cnet.com/semper/sapien/a/libero/nam/dui/proin.jsp?est=phasellus&quam=sit&pharetra=amet&magna=erat&ac=nulla&consequat=tempus&metus=vivamus&sapien=in&ut=felis&nunc=eu&vestibulum=sapien&ante=cursus&ipsum=vestibulum&primis=proin&in=eu&faucibus=mi&orci=nulla&luctus=ac&et=enim&ultrices=in&posuere=tempor&cubilia=turpis&curae=nec&mauris=euismod&viverra=scelerisque&diam=quam,Part time,80,Offline,6/8/2022,4/24/2022
204,Nguyễn Lê Duy,Male,fcaines5n@ycombinator.com,fcaines5n,@solutiondtk.com,fcaines5n@solutiondtk.com,84,873-189-9676,+84 873-189-9676,0008-0843,68001-161,Software Engineer,Technology,Da Nang,Damanhour University,30/09/96,26/04/21,26/06/21,Probation,4/4/2020,10/22/2021,"$19.888.990,12","$440.543,40",HSBC,10678-010,"$27.856.685,33","$19.448.446,72","-$8.408.238,61",Filmer Caines,SISS,http://mayoclinic.com/quis/justo/maecenas/rhoncus/aliquam/lacus/morbi.jpg?morbi=commodo&ut=placerat&odio=praesent&cras=blandit&mi=nam&pede=nulla&malesuada=integer&in=pede&imperdiet=justo&et=lacinia&commodo=eget&vulputate=tincidunt&justo=eget&in=tempus&blandit=vel&ultrices=pede&enim=morbi&lorem=porttitor&ipsum=lorem&dolor=id&sit=ligula&amet=suspendisse,Full time,80,Online,11/8/2021,2/13/2022
206,Phan Tin Tưởng,Male,amotton5p@miitbeian.gov.cn,amotton5p,@solutiondtk.com,amotton5p@solutiondtk.com,84,216-178-8526,+84 216-178-8526,49884-764,60429-109,Data Engineer,Sales,Hanoi,Siberian State University of Telecommunications and Informatics,12/1/1996,16/05/22,16/07/22,1 Year,3/30/2020,12/26/2022,"$15.780.302,82","$2.745.924,91",HSBC,41250-519,"$23.302.260,54","$13.034.377,91","-$10.267.882,63",Alexandr Motton,EMBI,https://craigslist.org/adipiscing/lorem/vitae/mattis/nibh/ligula/nec.js?montes=donec&nascetur=quis&ridiculus=orci&mus=eget&etiam=orci&vel=vehicula&augue=condimentum&vestibulum=curabitur&rutrum=in&rutrum=libero&neque=ut&aenean=massa&auctor=volutpat&gravida=convallis&sem=morbi&praesent=odio&id=odio&massa=elementum&id=eu&nisl=interdum&venenatis=eu&lacinia=tincidunt&aenean=in&sit=leo&amet=maecenas&justo=pulvinar&morbi=lobortis&ut=est&odio=phasellus&cras=sit&mi=amet&pede=erat&malesuada=nulla&in=tempus&imperdiet=vivamus&et=in&commodo=felis&vulputate=eu&justo=sapien&in=cursus&blandit=vestibulum&ultrices=proin&enim=eu&lorem=mi&ipsum=nulla&dolor=ac&sit=enim&amet=in&consectetuer=tempor&adipiscing=turpis&elit=nec&proin=euismod&interdum=scelerisque,Part time,80,Hybrid,7/9/2022,12/8/2021
209,Nham Hồng Phúc,Agender,eheale5s@foxnews.com,eheale5s,@solutiondtk.com,eheale5s@solutiondtk.com,84,500-736-3712,+84 500-736-3712,63868-257,0548-3339,Designer,Technology,Da Nang,Abia State Polytechnic,8/8/1999,18/12/21,18/02/22,Probation,4/21/2021,1/7/2022,"$10.373.080,78","$701.629,34",HSBC,21695-484,"$15.067.482,16","$9.671.451,44","-$5.396.030,72",Erika Heale,INDEN,http://wufoo.com/tempor/turpis/nec/euismod/scelerisque.html?primis=vestibulum&in=ac&faucibus=est&orci=lacinia&luctus=nisi&et=venenatis&ultrices=tristique&posuere=fusce&cubilia=congue&curae=diam&donec=id&pharetra=ornare&magna=imperdiet&vestibulum=sapien&aliquet=urna&ultrices=pretium&erat=nisl&tortor=ut&sollicitudin=volutpat&mi=sapien&sit=arcu&amet=sed&lobortis=augue&sapien=aliquam&sapien=erat&non=volutpat&mi=in&integer=congue&ac=etiam&neque=justo&duis=etiam&bibendum=pretium&morbi=iaculis&non=justo&quam=in&nec=hac&dui=habitasse&luctus=platea&rutrum=dictumst&nulla=etiam&tellus=faucibus&in=cursus&sagittis=urna&dui=ut&vel=tellus&nisl=nulla&duis=ut&ac=erat&nibh=id&fusce=mauris&lacus=vulputate&purus=elementum&aliquet=nullam&at=varius&feugiat=nulla&non=facilisi&pretium=cras&quis=non&lectus=velit&suspendisse=nec&potenti=nisi&in=vulputate&eleifend=nonummy&quam=maecenas&a=tincidunt&odio=lacus&in=at&hac=velit&habitasse=vivamus&platea=vel&dictumst=nulla&maecenas=eget&ut=eros&massa=elementum,Full time,80,Offline,11/10/2021,2/7/2022
211,Nguyễn Thị Mai Hồng,Female,ejobern5u@nymag.com,ejobern5u,@solutiondtk.com,ejobern5u@solutiondtk.com,84,692-957-9253,+84 692-957-9253,55316-461,66949-996,HR,Sales,Hanoi,Kyoto University,3/12/1996,7/8/2021,7/10/2021,Probation,1/1/2021,12/26/2022,"$18.890.220,91","$334.073,93",HSBC,36987-2847,"$24.678.816,87","$18.556.146,98","-$6.122.669,89",Elmira Jobern,SISS,https://linkedin.com/est/donec/odio/justo.js?magnis=integer&dis=non&parturient=velit&montes=donec&nascetur=diam&ridiculus=neque&mus=vestibulum&vivamus=eget&vestibulum=vulputate&sagittis=ut&sapien=ultrices&cum=vel&sociis=augue&natoque=vestibulum&penatibus=ante&et=ipsum&magnis=primis&dis=in&parturient=faucibus&montes=orci&nascetur=luctus&ridiculus=et&mus=ultrices&etiam=posuere&vel=cubilia&augue=curae&vestibulum=donec&rutrum=pharetra&rutrum=magna&neque=vestibulum&aenean=aliquet&auctor=ultrices&gravida=erat&sem=tortor&praesent=sollicitudin&id=mi&massa=sit&id=amet&nisl=lobortis&venenatis=sapien&lacinia=sapien&aenean=non,Full time,100,Hybrid,12/2/2021,11/5/2021
212,Lê Minh Tuấn,Non-binary,rgoldfinch5v@1und1.de,rgoldfinch5v,@solutiondtk.com,rgoldfinch5v@solutiondtk.com,84,351-718-3806,+84 351-718-3806,0904-6204,65224-539,Sales,Technology,Hanoi,Bangladesh University of Engineering and Technology,28/03/99,21/01/21,21/03/21,1 Year,6/5/2021,5/12/2022,"$20.391.291,29","$3.348.676,51",HSBC,47682-802,"$21.980.634,25","$17.042.614,78","-$4.938.019,47",Ralf Goldfinch,MKT,https://go.com/malesuada/in/imperdiet/et/commodo/vulputate/justo.json?nisi=ultrices&venenatis=phasellus&tristique=id&fusce=sapien&congue=in&diam=sapien&id=iaculis&ornare=congue&imperdiet=vivamus&sapien=metus&urna=arcu&pretium=adipiscing&nisl=molestie&ut=hendrerit&volutpat=at&sapien=vulputate&arcu=vitae&sed=nisl&augue=aenean&aliquam=lectus&erat=pellentesque&volutpat=eget&in=nunc,Part time,100,Online,2/12/2022,11/29/2021
213,Trần Nhã Linh,Male,hbrunn5w@china.com.cn,hbrunn5w,@solutiondtk.com,hbrunn5w@solutiondtk.com,84,560-436-6079,+84 560-436-6079,50383-040,53210-1003,Sales,Technology,Ho Chi Minh,Brickfields Asia College,1/12/1997,9/1/2022,9/3/2022,1 Year,1/30/2022,3/2/2023,"$21.475.341,73","$7.441.372,38",HSBC,55714-4440,"$14.172.889,99","$14.033.969,35","-$138.920,64",Harbert Brunn,EMBI,http://timesonline.co.uk/sit/amet.json?quam=nullam&a=porttitor&odio=lacus&in=at&hac=turpis&habitasse=donec&platea=posuere&dictumst=metus&maecenas=vitae&ut=ipsum&massa=aliquam&quis=non&augue=mauris&luctus=morbi&tincidunt=non&nulla=lectus&mollis=aliquam&molestie=sit&lorem=amet&quisque=diam&ut=in&erat=magna&curabitur=bibendum&gravida=imperdiet&nisi=nullam&at=orci&nibh=pede&in=venenatis&hac=non&habitasse=sodales&platea=sed&dictumst=tincidunt&aliquam=eu&augue=felis&quam=fusce&sollicitudin=posuere&vitae=felis&consectetuer=sed&eget=lacus&rutrum=morbi&at=sem&lorem=mauris&integer=laoreet&tincidunt=ut&ante=rhoncus&vel=aliquet&ipsum=pulvinar&praesent=sed&blandit=nisl&lacinia=nunc&erat=rhoncus&vestibulum=dui&sed=vel&magna=sem&at=sed&nunc=sagittis&commodo=nam&placerat=congue&praesent=risus&blandit=semper&nam=porta&nulla=volutpat&integer=quam&pede=pede&justo=lobortis&lacinia=ligula&eget=sit&tincidunt=amet&eget=eleifend&tempus=pede&vel=libero&pede=quis&morbi=orci&porttitor=nullam&lorem=molestie&id=nibh&ligula=in&suspendisse=lectus,Full time,100,Hybrid,7/30/2022,10/5/2022
214,Nguyễn Anh Khoa,Genderqueer,jblair5x@alexa.com,jblair5x,@solutiondtk.com,jblair5x@solutiondtk.com,84,426-570-9636,+84 426-570-9636,49967-479,36987-2052,Designer,Marketing,Hanoi,Universidad Tecnológica de Panamá,2/7/2000,23/11/21,23/01/22,Probation,4/20/2022,12/6/2022,"$22.019.382,61","$9.125.461,76",HSBC,60760-379,"$25.529.705,22","$12.893.920,85","-$12.635.784,37",Jennee Blair,INDEN,https://bigcartel.com/nulla/sed/vel/enim/sit/amet/nunc.html?duis=mattis&aliquam=nibh&convallis=ligula&nunc=nec&proin=sem&at=duis&turpis=aliquam&a=convallis&pede=nunc&posuere=proin&nonummy=at&integer=turpis&non=a,Part time,80,Offline,4/3/2022,11/8/2021
215,Huỳnh Phước Thái,Female,emalin5y@fastcompany.com,emalin5y,@solutiondtk.com,emalin5y@solutiondtk.com,84,637-163-4608,+84 637-163-4608,61047-825,42887-001,Content Marketing,Marketing,Ho Chi Minh,Chinju National University of Education,13/06/98,12/7/2022,12/9/2022,Probation,1/2/2022,12/2/2021,"$24.504.706,29","$11.233.000,28",HSBC,0093-5289,"$22.781.576,67","$13.271.706,01","-$9.509.870,66",Estel Malin,EMBI,https://xing.com/in/congue/etiam/justo.jsp?euismod=magna&scelerisque=bibendum&quam=imperdiet&turpis=nullam&adipiscing=orci&lorem=pede&vitae=venenatis&mattis=non&nibh=sodales&ligula=sed&nec=tincidunt&sem=eu&duis=felis&aliquam=fusce&convallis=posuere&nunc=felis&proin=sed&at=lacus&turpis=morbi&a=sem&pede=mauris&posuere=laoreet&nonummy=ut&integer=rhoncus&non=aliquet&velit=pulvinar&donec=sed&diam=nisl&neque=nunc&vestibulum=rhoncus&eget=dui&vulputate=vel&ut=sem&ultrices=sed&vel=sagittis&augue=nam&vestibulum=congue&ante=risus&ipsum=semper&primis=porta&in=volutpat&faucibus=quam&orci=pede&luctus=lobortis&et=ligula&ultrices=sit&posuere=amet&cubilia=eleifend&curae=pede&donec=libero&pharetra=quis&magna=orci&vestibulum=nullam&aliquet=molestie&ultrices=nibh&erat=in&tortor=lectus&sollicitudin=pellentesque&mi=at&sit=nulla&amet=suspendisse&lobortis=potenti&sapien=cras&sapien=in&non=purus&mi=eu&integer=magna&ac=vulputate&neque=luctus&duis=cum&bibendum=sociis&morbi=natoque&non=penatibus&quam=et&nec=magnis&dui=dis&luctus=parturient&rutrum=montes&nulla=nascetur&tellus=ridiculus&in=mus&sagittis=vivamus&dui=vestibulum&vel=sagittis&nisl=sapien&duis=cum&ac=sociis&nibh=natoque&fusce=penatibus&lacus=et&purus=magnis&aliquet=dis&at=parturient&feugiat=montes&non=nascetur&pretium=ridiculus&quis=mus,Full time,80,Offline,2/22/2022,7/9/2022
217,Huỳnh Trường Giang,Female,cdellenbach60@mtv.com,cdellenbach60,@solutiondtk.com,cdellenbach60@solutiondtk.com,84,947-967-1806,+84 947-967-1806,37000-372,50242-040,Admin,Technology,Hanoi,Chang Jung University,18/05/00,27/02/22,27/04/22,Infinity,10/9/2020,,"$13.031.350,80","$4.735.971,64",HSBC,58668-2541,"$25.623.229,70","$8.295.379,16","-$17.327.850,54",Carroll Dellenbach,INDEN,http://unblog.fr/felis/fusce/posuere/felis/sed/lacus/morbi.xml?libero=rutrum&quis=nulla&orci=nunc&nullam=purus&molestie=phasellus&nibh=in&in=felis&lectus=donec&pellentesque=semper&at=sapien&nulla=a&suspendisse=libero&potenti=nam&cras=dui&in=proin&purus=leo&eu=odio&magna=porttitor&vulputate=id&luctus=consequat&cum=in&sociis=consequat&natoque=ut&penatibus=nulla&et=sed&magnis=accumsan&dis=felis&parturient=ut&montes=at&nascetur=dolor&ridiculus=quis&mus=odio&vivamus=consequat&vestibulum=varius&sagittis=integer&sapien=ac&cum=leo&sociis=pellentesque&natoque=ultrices&penatibus=mattis&et=odio,Full time,100,Hybrid,5/7/2022,8/6/2022
220,Lê Minh Cường,Male,zhurton63@usnews.com,zhurton63,@solutiondtk.com,zhurton63@solutiondtk.com,84,974-375-9411,+84 974-375-9411,10812-350,60429-312,Project Manager,Technology,Ho Chi Minh,Mayo Graduate School,9/3/1997,17/12/20,17/02/21,Probation,2/16/2022,11/26/2021,"$12.901.704,94","$2.940.187,47",HSBC,54868-5126,"$10.296.199,17","$9.961.517,47","-$334.681,70",Zacherie Hurton,MKT,https://redcross.org/id/turpis/integer/aliquet.jpg?in=proin&hac=eu&habitasse=mi&platea=nulla&dictumst=ac&maecenas=enim&ut=in&massa=tempor&quis=turpis&augue=nec&luctus=euismod&tincidunt=scelerisque&nulla=quam&mollis=turpis&molestie=adipiscing&lorem=lorem&quisque=vitae&ut=mattis,Part time,100,Hybrid,5/26/2022,2/27/2022
221,Hồ Tuấn Trung,Female,rsaunder64@geocities.jp,rsaunder64,@solutiondtk.com,rsaunder64@solutiondtk.com,84,864-519-9954,+84 864-519-9954,67457-357,55910-622,Digital Marketing,Sales,Hanoi,Wilkes University,23/05/99,3/5/2022,3/7/2022,Infinity,12/28/2021,,"$24.956.309,45","$5.683.147,91",HSBC,0591-3203,"$21.578.232,22","$19.273.161,54","-$2.305.070,68",Risa Saunder,INDEN,http://com.com/velit/nec/nisi/vulputate/nonummy.html?platea=posuere&dictumst=nonummy&morbi=integer&vestibulum=non&velit=velit&id=donec&pretium=diam&iaculis=neque&diam=vestibulum&erat=eget&fermentum=vulputate&justo=ut&nec=ultrices&condimentum=vel&neque=augue&sapien=vestibulum&placerat=ante&ante=ipsum&nulla=primis&justo=in&aliquam=faucibus&quis=orci&turpis=luctus&eget=et&elit=ultrices&sodales=posuere&scelerisque=cubilia&mauris=curae&sit=donec&amet=pharetra&eros=magna&suspendisse=vestibulum&accumsan=aliquet&tortor=ultrices&quis=erat&turpis=tortor&sed=sollicitudin&ante=mi&vivamus=sit&tortor=amet&duis=lobortis&mattis=sapien&egestas=sapien&metus=non&aenean=mi&fermentum=integer&donec=ac&ut=neque&mauris=duis&eget=bibendum&massa=morbi&tempor=non&convallis=quam&nulla=nec&neque=dui&libero=luctus&convallis=rutrum&eget=nulla&eleifend=tellus&luctus=in&ultricies=sagittis&eu=dui&nibh=vel&quisque=nisl&id=duis&justo=ac&sit=nibh&amet=fusce&sapien=lacus&dignissim=purus&vestibulum=aliquet&vestibulum=at&ante=feugiat&ipsum=non&primis=pretium&in=quis&faucibus=lectus&orci=suspendisse&luctus=potenti&et=in&ultrices=eleifend&posuere=quam&cubilia=a&curae=odio&nulla=in&dapibus=hac&dolor=habitasse&vel=platea,Full time,80,Offline,5/27/2022,12/12/2021
